content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"pelayanan ramah, respon cepat",5,Positif,pelayanan ramah respon cepat,pelayanan ramah respon cepat,"['pelayanan', 'ramah', 'respon', 'cepat']",layan ramah respon cepat
Cara ganti no pos aja nya gimana no nya sudah gak di gunakan soal nya,1,Negatif,cara ganti no pos aja nya gimana no nya sudah gak di gunakan soal nya,ganti no pos aja nya gimana no nya gak nya,"['ganti', 'no', 'pos', 'aja', 'nya', 'gimana', 'no', 'nya', 'gak', 'nya']",ganti no pos aja nya gimana no nya gak nya
aplikasinya amat sgt memuaskan.....,5,Positif,aplikasinya amat sgt memuaskan,aplikasinya sgt memuaskan,"['aplikasinya', 'sgt', 'memuaskan']",aplikasi sgt muas
Sangat bagus,1,Negatif,sangat bagus,bagus,['bagus'],bagus
Posaja juara,5,Positif,posaja juara,posaja juara,"['posaja', 'juara']",posaja juara
Bagus dan untuk kedepannya diperbanyak lagi menunya ya,5,Positif,bagus dan untuk kedepannya diperbanyak lagi menunya ya,bagus kedepannya diperbanyak menunya ya,"['bagus', 'kedepannya', 'diperbanyak', 'menunya', 'ya']",bagus depan banyak menu ya
"Riwayat kiriman stag tidak ada perubahan walau ada tambahan paket kiriman, baru muncul setelah install ulang mohon untuk diperbaiki..lain2 sudah bagus..",5,Positif,riwayat kiriman stag tidak ada perubahan walau ada tambahan paket kiriman baru muncul setelah install ulang mohon untuk diperbaikilain sudah bagus,riwayat kiriman stag perubahan tambahan paket kiriman muncul install ulang mohon diperbaikilain bagus,"['riwayat', 'kiriman', 'stag', 'perubahan', 'tambahan', 'paket', 'kiriman', 'muncul', 'install', 'ulang', 'mohon', 'diperbaikilain', 'bagus']",riwayat kirim stag ubah tambah paket kirim muncul install ulang mohon diperbaikilain bagus
Cara praktis mengirim barang. Hanya menunggu di rumah,5,Positif,cara praktis mengirim barang hanya menunggu di rumah,praktis mengirim barang menunggu rumah,"['praktis', 'mengirim', 'barang', 'menunggu', 'rumah']",praktis kirim barang tunggu rumah
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
Mantaffffff,5,Positif,mantaffffff,mantaffffff,['mantaffffff'],mantaffffff
bagus mantap,5,Positif,bagus mantap,bagus mantap,"['bagus', 'mantap']",bagus mantap
Kerennn 👍,5,Positif,kerennn ,kerennn,['kerennn'],kerennn
Membantu aekali,4,Positif,membantu aekali,membantu aekali,"['membantu', 'aekali']",bantu aekali
Sangat ok,5,Positif,sangat ok,ok,['ok'],ok
Trimakasih...pos aja,4,Positif,trimakasihpos aja,trimakasihpos aja,"['trimakasihpos', 'aja']",trimakasihpos aja
"bagus, tingkatkan trs pelayanannya👍",5,Positif,bagus tingkatkan trs pelayanannya,bagus tingkatkan trs pelayanannya,"['bagus', 'tingkatkan', 'trs', 'pelayanannya']",bagus tingkat trs layan
Pos Aja memang oke 👍👍,5,Positif,pos aja memang oke ,pos aja oke,"['pos', 'aja', 'oke']",pos aja oke
Ok,5,Positif,ok,ok,['ok'],ok
