content,score,Label
"pelayanan ramah, respon cepat",5,Positif
Cara ganti no pos aja nya gimana no nya sudah gak di gunakan soal nya,1,Negatif
aplikasinya amat sgt memuaskan.....,5,Positif
Sangat bagus,1,Negatif
Posaja juara,5,Positif
Bagus dan untuk kedepannya diperbanyak lagi menunya ya,5,Positif
"Riwayat kiriman stag tidak ada perubahan walau ada tambahan paket kiriman, baru muncul setelah install ulang mohon untuk diperbaiki..lain2 sudah bagus..",5,Positif
Cara praktis mengirim barang. Hanya menunggu di rumah,5,Positif
Mantap,5,Positif
Mantaffffff,5,Positif
bagus mantap,5,Positif
Kerennn 👍,5,Positif
Membantu aekali,4,Positif
Sangat ok,5,Positif
Trimakasih...pos aja,4,Positif
"bagus, tingkatkan trs pelayanannya👍",5,Positif
Pos Aja memang oke 👍👍,5,Positif
Ok,5,Positif
"Bagus banget tanpa sekat, tidak ada kendala. hanya saja promo setiap kiriman belum ada",5,Positif
"Nama udah lengkap, alamat tertera dengan jelas, nomor rumah juga ada dan tentunya orang di rumah selalu ada. TAPI, masih aja paket dikasih ke kantor desa. Mana desanya jauh lagi. Udah tahu isinya penting, dokumen sensitif. Bisa-bisanya dikasih ke orang lain. Lawak banget cuy 🤣",1,Negatif
"Aplikasinya bagus, dan sangat membantu",5,Positif
Sangat bagus👍👍👍👍👍,5,Positif
Dalam 1 Aplikasi bisa utk semuanya,5,Positif
Good pos aja,5,Positif
"Aplikasi Terbaik, The Best👍👍👍",4,Positif
Mau pesen barang tinggal klik order langsung datang orderan yang... Mantap posaja,5,Positif
Aplikasi yang sangat membantu dalam pengiriman paket dan dokumen,5,Positif
Pokok nya sangat membantu dach top markotop...👍👍👍👍👍,5,Positif
"Good sangat membantu kami buat jualan online, trimakasih Kantor Pos",5,Positif
Bagus bermanfaat luar biasa,5,Positif
Jos pokoknya ..pos aja juara,5,Positif
Saya suka produk pos,5,Positif
PELAYANAN POS SANGAT JELEK SEKALI KHUSUS NYA DAERAH TANAH MERAH BANGKALAN MADURA... KURIR GAK MAU NGANTERIN PAKET. KURIR TANAH MERAH SANGAT BURUK SEKALI,1,Negatif
Mantap tidak kalah dengan yg lain....👍,5,Positif
Mantap kali,5,Positif
"Kirim barang tdk perlu keluar rumah, menghemat waktu",5,Positif
Pos memang sangat cepat & amanah dalam tugas pengiriman nya. Sukses terus 🧡,5,Positif
"Pakek pos aja enak, nyaman, gampang lagi",5,Positif
Muhammaddin,5,Positif
Mantap,5,Positif
bagus,4,Positif
Mau ngaktifin fitur COD kok ferifikasi nggak masuk2 lewat Wa? Udh lama nunggu di kantor,1,Negatif
"mohon pilihan fitur layanannya ditambah dan di upgrade, khususnya ditambahkan fitur layanan pengiriman via kapal laut plus cara cek tarifnya tanpa harus datang secara manual ke kantor pos, terima kasih",2,Negatif
Ok,5,Positif
Ok,5,Positif
Aman dan tepat waktu,5,Positif
Mememudahkan untuk kebutuhan layanan sehari hari,5,Positif
bagus pos sekarang cepat pengirimannya,5,Positif
sangat amanah. meski reguler serasa kilat . ayo lebih amanah pasti banyak yg suka.,5,Positif
Berpengalaman Proses aman dan terpercaya,5,Positif
Lebih mudah bertransaksi,5,Positif
👍,5,Positif
pengiriman cepat dan dana cepat masuk,5,Positif
"Trimakasih pelayanan yg diberikan,adminya gercep bila ada customer minta bantuan,semoga pelayanan semakin baik dan merata tanpa pilihan diseluruh indonesia bahlan luar negri.",5,Positif
"Mohon ditingkatkan LG apknya. Agar lebih praktis,mudah dan cepat untuk dipelajari nya.... Go...go...go...",5,Positif
Oke mantap !!!,5,Positif
"Lha ini login nya dimana kok hanya tulisan daftar, wes angel wes angel...",1,Negatif
ok,5,Positif
Sak Josss e,5,Positif
Sukses Terus,5,Positif
Lebih murah mudah yg pasti aman,4,Positif
apik tenan,4,Positif
Mantap,5,Positif
3 kalinya sy dikecewakan oleh ini aplikasi sdh sy dounload.lupa pasword jadi ngak bs dipakek lagi..hrs datang ke kantor pusat.klu ingin mengunakan 2 kali paket sy diretur dgn alasan alamat tdk dikenal.kenapa diterima pihak pos klu alamat nya tdk dikenal..kan ada no Wanya penerima dan sipenerima menghubungi kita trs mempertanyakan paketnya.pengirim yg dirugikan.mana uang ongkir jasa ngak bs kembali lagi...tolong lah diperbaiki kinerja nya..sy berusaha setia dgn pos biar ngak sepi antaranya,2,Negatif
Kasih bintang 4 dulu,4,Positif
Mantap,5,Positif
Suka.. Cuma blm bisa utk cek lacak keberadaan posisi barang,5,Positif
"Sangat membantu dlm orderan online saya, dan dpet poin trus sangat mudah dan cepat dlm proses kirimnya.. top bgt lah, maju terus pt pos indonesia 👍👍👍",5,Positif
"Mudah dan simple, tidak bertele-tele...mantap bosku...",5,Positif
Belum pernah daftar tapi nomer ponsel sudah terdaftar,4,Positif
Bagus,5,Positif
Bagus aplikasi ..bisa buat kiriman,5,Positif
Simpel dan praktis dan terjangkau di seluruh Indonesia,5,Positif
Tingkatkan terus pelayanan yang diberikan,5,Positif
Semoga dapat kemudahan bagi kami yang jauh dari kantor pos.,5,Positif
ok,5,Positif
Very good,5,Positif
Pos Aja pilihan tepat dan aman untuk kirim kirim paket harian ataupun data penting,5,Positif
Good,5,Positif
aplikasi yg sangat membantu saat ingin kirim paket dikantor pos..smg pos smkn jaya dan sukses,5,Positif
Amazing amazing amazing emang posaja bisa diandalkan kirim paket jdi lebih gampang dgn adanya partner Opick (O-ranger pick up) #Cuakz,5,Positif
pos aja memang top,5,Positif
Good apps,5,Positif
Sangat Membantu...,5,Positif
Tingkat kan kwalitas nya,5,Positif
aplikasi posaja sangat simpel dan sangat membantu untuk proses pengiriman,5,Positif
Mantap pos aja👍👍,5,Positif
Sangat membantu untuk pelacakan kiriman dan mengetahui ongkir jg sangat membantu,5,Positif
very good,5,Positif
Bugus mapermudah,5,Positif
Bgus kok bisa nglacak paket dngan bnar,5,Positif
The best pos aja,5,Positif
kerenn aplikasinya,5,Positif
Bagus,5,Positif
ok,5,Positif
Ini gimana registrasi mau masukin kode verifikasi aja gk bisa,1,Negatif
Sementara 4 dulu,4,Positif
"Terimakasih pos indonesia, paket saya 6 hari sudah sampai taiwan aman dan cepat, proses tidak berbelit belit",5,Positif
Apk gak guna. Awas uang endap an 10k Kaya bank aja.,1,Negatif
Pelayanan cepat,5,Positif
Mantap,5,Positif
mantap,4,Positif
Mantap,5,Positif
Kode Verifikasi salah terus. Gak mutu,1,Negatif
Moga bermanfaat n dipermudahkan dlm kirim mengirim paket,4,Positif
Baik Sekali,5,Positif
Solusi terbaik dan termudah untuk pengiriman barang tanpa ribet,5,Positif
Bagus banget 👍👍👍,5,Positif
"Untuk pengiriman lumayan bagus.. Tapi kebijakan soal volume barang terlalu minim.. jadi memberatkan biaya ongkir.. Kalau kebijakannya tetap seperti itu.. kami yakin kantor akan ditinggalkan konsumen,.. Harusnya bisa bersaing dg kompetitor yg lain.. jangan memberikn kebijakan yg merugikan olshop & konsumen.. Semoga kebijakan seperti itu di pertimbangkan kembali.. mengingat pesaing expedisi yg lain semakin banyak 🙏",3,Netral
Ok,5,Positif
Saya sudah download dan register PosAja ..semoga saya dapat give away dri posaja.. Sy sudah komen melalui instagram Annisarar_rubbymaura..sukses slalu utk PosAja...,5,Positif
Ok,5,Positif
Mantaaap,5,Positif
Good,5,Positif
udah diupdate hser id gak muncul aplikasi coba2,1,Negatif
Sangat bermanfaat,5,Positif
Mengakomodir kebutuhan pengiriman,5,Positif
Ok,5,Positif
🥰🥰🥰🥰🥰🥰🥰🥰🥰 Bismillah bismillah,5,Positif
Bgs apk nya,5,Positif
Bagus makin maju skrg,5,Positif
Keren,5,Positif
